YEAR,MONTH,Datetime,Rainfall
1901,Jan,01-01-1901,5.082
1901,Feb,01-02-1901,0.769
1901,Mar,01-03-1901,0.182
1901,Apr,01-04-1901,0.291
1901,May,01-05-1901,3.47
1901,Jun,01-06-1901,18.436
1901,Jul,01-07-1901,185.767
1901,Aug,01-08-1901,108.43
1901,Sep,01-09-1901,6.478
1901,Oct,01-10-1901,8.023
1901,Nov,01-11-1901,0.039
1901,Dec,01-12-1901,6.618
1902,Jan,01-01-1902,0.991
1902,Feb,01-02-1902,0
1902,Mar,01-03-1902,0.004
1902,Apr,01-04-1902,0.04
1902,May,01-05-1902,0.231
1902,Jun,01-06-1902,69.584
1902,Jul,01-07-1902,89.631
1902,Aug,01-08-1902,99.575
1902,Sep,01-09-1902,66.101
1902,Oct,01-10-1902,2.721
1902,Nov,01-11-1902,7.319
1902,Dec,01-12-1902,0.558
1903,Jan,01-01-1903,0.337
1903,Feb,01-02-1903,0.089
1903,Mar,01-03-1903,1.305
1903,Apr,01-04-1903,0
1903,May,01-05-1903,11.937
1903,Jun,01-06-1903,3.44
1903,Jul,01-07-1903,287.291
1903,Aug,01-08-1903,185.468
1903,Sep,01-09-1903,147.905
1903,Oct,01-10-1903,2.383
1903,Nov,01-11-1903,0.039
1903,Dec,01-12-1903,0
1904,Jan,01-01-1904,0.429
1904,Feb,01-02-1904,2.02
1904,Mar,01-03-1904,26.237
1904,Apr,01-04-1904,0
1904,May,01-05-1904,14.769
1904,Jun,01-06-1904,51.707
1904,Jul,01-07-1904,117.672
1904,Aug,01-08-1904,79.146
1904,Sep,01-09-1904,68.75
1904,Oct,01-10-1904,11.705
1904,Nov,01-11-1904,5.116
1904,Dec,01-12-1904,11.12
1905,Jan,01-01-1905,4.074
1905,Feb,01-02-1905,6.229
1905,Mar,01-03-1905,2.075
1905,Apr,01-04-1905,8.199
1905,May,01-05-1905,2.768
1905,Jun,01-06-1905,20.722
1905,Jul,01-07-1905,99.946
1905,Aug,01-08-1905,9.432
1905,Sep,01-09-1905,62.886
1905,Oct,01-10-1905,0
1905,Nov,01-11-1905,0.039
1905,Dec,01-12-1905,0.19
1906,Jan,01-01-1906,0
1906,Feb,01-02-1906,43.472
1906,Mar,01-03-1906,3.039
1906,Apr,01-04-1906,0
1906,May,01-05-1906,1.03
1906,Jun,01-06-1906,48.59
1906,Jul,01-07-1906,160.278
1906,Aug,01-08-1906,72.257
1906,Sep,01-09-1906,136.599
1906,Oct,01-10-1906,0.059
1906,Nov,01-11-1906,0.039
1906,Dec,01-12-1906,18.342
1907,Jan,01-01-1907,4.374
1907,Feb,01-02-1907,20.537
1907,Mar,01-03-1907,0.667
1907,Apr,01-04-1907,14.725
1907,May,01-05-1907,4.882
1907,Jun,01-06-1907,10.65
1907,Jul,01-07-1907,86.726
1907,Aug,01-08-1907,261.89
1907,Sep,01-09-1907,1.833
1907,Oct,01-10-1907,0
1907,Nov,01-11-1907,0.45
1907,Dec,01-12-1907,0
1908,Jan,01-01-1908,11.288
1908,Feb,01-02-1908,0
1908,Mar,01-03-1908,0
1908,Apr,01-04-1908,0.422
1908,May,01-05-1908,3.262
1908,Jun,01-06-1908,27.672
1908,Jul,01-07-1908,432.441
1908,Aug,01-08-1908,313.776
1908,Sep,01-09-1908,288.739
1908,Oct,01-10-1908,0.893
1908,Nov,01-11-1908,6.134
1908,Dec,01-12-1908,0.19
1909,Jan,01-01-1909,13.532
1909,Feb,01-02-1909,0.223
1909,Mar,01-03-1909,0
1909,Apr,01-04-1909,26.655
1909,May,01-05-1909,5.956
1909,Jun,01-06-1909,40.131
1909,Jul,01-07-1909,323.511
1909,Aug,01-08-1909,61.572
1909,Sep,01-09-1909,256.662
1909,Oct,01-10-1909,0
1909,Nov,01-11-1909,0.039
1909,Dec,01-12-1909,5.524
1910,Jan,01-01-1910,2.646
1910,Feb,01-02-1910,0.715
1910,Mar,01-03-1910,0
1910,Apr,01-04-1910,9.81
1910,May,01-05-1910,2.865
1910,Jun,01-06-1910,109.868
1910,Jul,01-07-1910,84.464
1910,Aug,01-08-1910,170.467
1910,Sep,01-09-1910,38.937
1910,Oct,01-10-1910,2.553
1910,Nov,01-11-1910,0.766
1910,Dec,01-12-1910,0
1911,Jan,01-01-1911,3.577
1911,Feb,01-02-1911,0
1911,Mar,01-03-1911,21.05
1911,Apr,01-04-1911,0
1911,May,01-05-1911,0.004
1911,Jun,01-06-1911,38.845
1911,Jul,01-07-1911,20.769
1911,Aug,01-08-1911,33.769
1911,Sep,01-09-1911,136.674
1911,Oct,01-10-1911,0
1911,Nov,01-11-1911,31.972
1911,Dec,01-12-1911,1.232
1912,Jan,01-01-1912,1.65
1912,Feb,01-02-1912,0.089
1912,Mar,01-03-1912,0.087
1912,Apr,01-04-1912,1.152
1912,May,01-05-1912,1.03
1912,Jun,01-06-1912,62.467
1912,Jul,01-07-1912,196.551
1912,Aug,01-08-1912,231.075
1912,Sep,01-09-1912,68.823
1912,Oct,01-10-1912,19.958
1912,Nov,01-11-1912,55.868
1912,Dec,01-12-1912,0.41
1913,Jan,01-01-1913,0
1913,Feb,01-02-1913,3.473
1913,Mar,01-03-1913,1.401
1913,Apr,01-04-1913,0
1913,May,01-05-1913,12.739
1913,Jun,01-06-1913,50.94
1913,Jul,01-07-1913,96.399
1913,Aug,01-08-1913,58.362
1913,Sep,01-09-1913,72.984
1913,Oct,01-10-1913,0
1913,Nov,01-11-1913,0.047
1913,Dec,01-12-1913,1.797
1914,Jan,01-01-1914,0
1914,Feb,01-02-1914,3.628
1914,Mar,01-03-1914,0.184
1914,Apr,01-04-1914,4.707
1914,May,01-05-1914,14.813
1914,Jun,01-06-1914,96.292
1914,Jul,01-07-1914,148.925
1914,Aug,01-08-1914,117.045
1914,Sep,01-09-1914,104.604
1914,Oct,01-10-1914,2.955
1914,Nov,01-11-1914,37.954
1914,Dec,01-12-1914,0.4
1915,Jan,01-01-1915,5.017
1915,Feb,01-02-1915,5.559
1915,Mar,01-03-1915,28.074
1915,Apr,01-04-1915,2.252
1915,May,01-05-1915,3.097
1915,Jun,01-06-1915,30.884
1915,Jul,01-07-1915,75.883
1915,Aug,01-08-1915,45.145
1915,Sep,01-09-1915,33.34
1915,Oct,01-10-1915,53.144
1915,Nov,01-11-1915,0.182
1915,Dec,01-12-1915,0.339
1916,Jan,01-01-1916,0
1916,Feb,01-02-1916,0.838
1916,Mar,01-03-1916,0.184
1916,Apr,01-04-1916,0.198
1916,May,01-05-1916,23.329
1916,Jun,01-06-1916,34.946
1916,Jul,01-07-1916,125.972
1916,Aug,01-08-1916,304.538
1916,Sep,01-09-1916,140.098
1916,Oct,01-10-1916,10.985
1916,Nov,01-11-1916,2.471
1916,Dec,01-12-1916,0
1917,Jan,01-01-1917,1.065
1917,Feb,01-02-1917,9.959
1917,Mar,01-03-1917,0.281
1917,Apr,01-04-1917,17.575
1917,May,01-05-1917,59.422
1917,Jun,01-06-1917,198.547
1917,Jul,01-07-1917,243.632
1917,Aug,01-08-1917,386.326
1917,Sep,01-09-1917,242.147
1917,Oct,01-10-1917,28.464
1917,Nov,01-11-1917,0.039
1917,Dec,01-12-1917,17.203
1918,Jan,01-01-1918,1.202
1918,Feb,01-02-1918,0
1918,Mar,01-03-1918,3.291
1918,Apr,01-04-1918,0
1918,May,01-05-1918,9.594
1918,Jun,01-06-1918,15.226
1918,Jul,01-07-1918,25.44
1918,Aug,01-08-1918,60.958
1918,Sep,01-09-1918,11.76
1918,Oct,01-10-1918,0
1918,Nov,01-11-1918,3.457
1918,Dec,01-12-1918,0
1919,Jan,01-01-1919,10.558
1919,Feb,01-02-1919,0
1919,Mar,01-03-1919,0.286
1919,Apr,01-04-1919,31.999
1919,May,01-05-1919,6.123
1919,Jun,01-06-1919,20.565
1919,Jul,01-07-1919,208.245
1919,Aug,01-08-1919,149.909
1919,Sep,01-09-1919,50.918
1919,Oct,01-10-1919,3.875
1919,Nov,01-11-1919,21.571
1919,Dec,01-12-1919,1.025
1920,Jan,01-01-1920,3.737
1920,Feb,01-02-1920,3.83
1920,Mar,01-03-1920,1.908
1920,Apr,01-04-1920,0
1920,May,01-05-1920,29.171
1920,Jun,01-06-1920,146.164
1920,Jul,01-07-1920,141.925
1920,Aug,01-08-1920,29.881
1920,Sep,01-09-1920,17.026
1920,Oct,01-10-1920,0
1920,Nov,01-11-1920,0.039
1920,Dec,01-12-1920,0
1921,Jan,01-01-1921,2.264
1921,Feb,01-02-1921,0
1921,Mar,01-03-1921,0
1921,Apr,01-04-1921,0.04
1921,May,01-05-1921,0.004
1921,Jun,01-06-1921,20.897
1921,Jul,01-07-1921,124.478
1921,Aug,01-08-1921,74.848
1921,Sep,01-09-1921,103.106
1921,Oct,01-10-1921,0
1921,Nov,01-11-1921,0.039
1921,Dec,01-12-1921,0
1922,Jan,01-01-1922,1.424
1922,Feb,01-02-1922,0.838
1922,Mar,01-03-1922,0.036
1922,Apr,01-04-1922,0.348
1922,May,01-05-1922,1.304
1922,Jun,01-06-1922,36.502
1922,Jul,01-07-1922,174.243
1922,Aug,01-08-1922,49.711
1922,Sep,01-09-1922,154.297
1922,Oct,01-10-1922,0.602
1922,Nov,01-11-1922,4.715
1922,Dec,01-12-1922,5.372
1923,Jan,01-01-1923,1.949
1923,Feb,01-02-1923,6.439
1923,Mar,01-03-1923,2.133
1923,Apr,01-04-1923,0.526
1923,May,01-05-1923,4.448
1923,Jun,01-06-1923,3.636
1923,Jul,01-07-1923,318.651
1923,Aug,01-08-1923,178.468
1923,Sep,01-09-1923,56.236
1923,Oct,01-10-1923,1.823
1923,Nov,01-11-1923,0.039
1923,Dec,01-12-1923,1.108
1924,Jan,01-01-1924,0.985
1924,Feb,01-02-1924,2.335
1924,Mar,01-03-1924,0.199
1924,Apr,01-04-1924,0
1924,May,01-05-1924,13.261
1924,Jun,01-06-1924,28.257
1924,Jul,01-07-1924,173.095
1924,Aug,01-08-1924,96.739
1924,Sep,01-09-1924,156.313
1924,Oct,01-10-1924,6.354
1924,Nov,01-11-1924,0.555
1924,Dec,01-12-1924,20.793
1925,Jan,01-01-1925,0
1925,Feb,01-02-1925,0
1925,Mar,01-03-1925,0
1925,Apr,01-04-1925,0
1925,May,01-05-1925,12.179
1925,Jun,01-06-1925,94.669
1925,Jul,01-07-1925,189.425
1925,Aug,01-08-1925,64.993
1925,Sep,01-09-1925,10.21
1925,Oct,01-10-1925,0
1925,Nov,01-11-1925,30.13
1925,Dec,01-12-1925,0.042
1926,Jan,01-01-1926,19.759
1926,Feb,01-02-1926,0.677
1926,Mar,01-03-1926,25.67
1926,Apr,01-04-1926,6.289
1926,May,01-05-1926,12.529
1926,Jun,01-06-1926,11.719
1926,Jul,01-07-1926,150.411
1926,Aug,01-08-1926,238.098
1926,Sep,01-09-1926,236.959
1926,Oct,01-10-1926,0
1926,Nov,01-11-1926,2.272
1926,Dec,01-12-1926,0
1927,Jan,01-01-1927,0
1927,Feb,01-02-1927,6.497
1927,Mar,01-03-1927,0.161
1927,Apr,01-04-1927,0.348
1927,May,01-05-1927,5.645
1927,Jun,01-06-1927,16.276
1927,Jul,01-07-1927,226.624
1927,Aug,01-08-1927,332.879
1927,Sep,01-09-1927,73.396
1927,Oct,01-10-1927,10.979
1927,Nov,01-11-1927,16.942
1927,Dec,01-12-1927,12.568
1928,Jan,01-01-1928,1.271
1928,Feb,01-02-1928,4.957
1928,Mar,01-03-1928,0.272
1928,Apr,01-04-1928,0
1928,May,01-05-1928,0.648
1928,Jun,01-06-1928,10.745
1928,Jul,01-07-1928,163.753
1928,Aug,01-08-1928,190.028
1928,Sep,01-09-1928,72.892
1928,Oct,01-10-1928,36.64
1928,Nov,01-11-1928,27.332
1928,Dec,01-12-1928,7.672
1929,Jan,01-01-1929,0.405
1929,Feb,01-02-1929,1.264
1929,Mar,01-03-1929,0
1929,Apr,01-04-1929,7.588
1929,May,01-05-1929,2.168
1929,Jun,01-06-1929,45.372
1929,Jul,01-07-1929,176.454
1929,Aug,01-08-1929,187.611
1929,Sep,01-09-1929,11.934
1929,Oct,01-10-1929,1.656
1929,Nov,01-11-1929,0.039
1929,Dec,01-12-1929,9.77
1930,Jan,01-01-1930,3.659
1930,Feb,01-02-1930,0.53
1930,Mar,01-03-1930,0
1930,Apr,01-04-1930,3.204
1930,May,01-05-1930,19.477
1930,Jun,01-06-1930,96.553
1930,Jul,01-07-1930,179.445
1930,Aug,01-08-1930,83.078
1930,Sep,01-09-1930,24.834
1930,Oct,01-10-1930,14.381
1930,Nov,01-11-1930,0.329
1930,Dec,01-12-1930,0
1931,Jan,01-01-1931,0
1931,Feb,01-02-1931,0.844
1931,Mar,01-03-1931,0.818
1931,Apr,01-04-1931,0.04
1931,May,01-05-1931,3.779
1931,Jun,01-06-1931,26.754
1931,Jul,01-07-1931,83.302
1931,Aug,01-08-1931,383.267
1931,Sep,01-09-1931,63.727
1931,Oct,01-10-1931,42.525
1931,Nov,01-11-1931,0.329
1931,Dec,01-12-1931,0
1932,Jan,01-01-1932,0
1932,Feb,01-02-1932,1.454
1932,Mar,01-03-1932,7.099
1932,Apr,01-04-1932,1.706
1932,May,01-05-1932,1.641
1932,Jun,01-06-1932,36.836
1932,Jul,01-07-1932,122.843
1932,Aug,01-08-1932,367.795
1932,Sep,01-09-1932,49.637
1932,Oct,01-10-1932,0.792
1932,Nov,01-11-1932,0.039
1932,Dec,01-12-1932,0
1933,Jan,01-01-1933,0
1933,Feb,01-02-1933,8.403
1933,Mar,01-03-1933,5.999
1933,Apr,01-04-1933,21.643
1933,May,01-05-1933,23.207
1933,Jun,01-06-1933,161.212
1933,Jul,01-07-1933,78.325
1933,Aug,01-08-1933,399.741
1933,Sep,01-09-1933,121.493
1933,Oct,01-10-1933,7.05
1933,Nov,01-11-1933,1.175
1933,Dec,01-12-1933,1.577
1934,Jan,01-01-1934,1.634
1934,Feb,01-02-1934,0
1934,Mar,01-03-1934,6.342
1934,Apr,01-04-1934,0
1934,May,01-05-1934,0.004
1934,Jun,01-06-1934,147.299
1934,Jul,01-07-1934,84.217
1934,Aug,01-08-1934,282.24
1934,Sep,01-09-1934,50.292
1934,Oct,01-10-1934,0.017
1934,Nov,01-11-1934,9.885
1934,Dec,01-12-1934,4.934
1935,Jan,01-01-1935,11.194
1935,Feb,01-02-1935,1.103
1935,Mar,01-03-1935,1.924
1935,Apr,01-04-1935,19.969
1935,May,01-05-1935,2.509
1935,Jun,01-06-1935,11.555
1935,Jul,01-07-1935,237.447
1935,Aug,01-08-1935,50.198
1935,Sep,01-09-1935,114.58
1935,Oct,01-10-1935,14.818
1935,Nov,01-11-1935,0.039
