YEAR,MONTH,Datetime,Rainfall
1935,Dec,01-12-1935,0.804
1936,Jan,01-01-1936,0
1936,Feb,01-02-1936,5.953
1936,Mar,01-03-1936,20.494
1936,Apr,01-04-1936,2.116
1936,May,01-05-1936,8.279
1936,Jun,01-06-1936,159.842
1936,Jul,01-07-1936,96.872
1936,Aug,01-08-1936,107.165
1936,Sep,01-09-1936,79.281
1936,Oct,01-10-1936,0
1936,Nov,01-11-1936,34.691
1936,Dec,01-12-1936,1.838
1937,Jan,01-01-1937,0
1937,Feb,01-02-1937,12.51
1937,Mar,01-03-1937,0
1937,Apr,01-04-1937,0.689
1937,May,01-05-1937,1.955
1937,Jun,01-06-1937,20.23
1937,Jul,01-07-1937,191.096
1937,Aug,01-08-1937,16.443
1937,Sep,01-09-1937,160.091
1937,Oct,01-10-1937,4.398
1937,Nov,01-11-1937,2.288
1937,Dec,01-12-1937,4.033
1938,Jan,01-01-1938,0.575
1938,Feb,01-02-1938,0
1938,Mar,01-03-1938,3.633
1938,Apr,01-04-1938,0.129
1938,May,01-05-1938,12.611
1938,Jun,01-06-1938,184.169
1938,Jul,01-07-1938,166.122
1938,Aug,01-08-1938,68.987
1938,Sep,01-09-1938,29.756
1938,Oct,01-10-1938,4.06
1938,Nov,01-11-1938,0.039
1938,Dec,01-12-1938,0
1939,Jan,01-01-1939,0.93
1939,Feb,01-02-1939,4.022
1939,Mar,01-03-1939,9.492
1939,Apr,01-04-1939,1.011
1939,May,01-05-1939,0.004
1939,Jun,01-06-1939,36.426
1939,Jul,01-07-1939,95.995
1939,Aug,01-08-1939,131.53
1939,Sep,01-09-1939,44.68
1939,Oct,01-10-1939,0.404
1939,Nov,01-11-1939,1.007
1939,Dec,01-12-1939,0.697
1940,Jan,01-01-1940,2.843
1940,Feb,01-02-1940,10.312
1940,Mar,01-03-1940,23.731
1940,Apr,01-04-1940,1.521
1940,May,01-05-1940,8.169
1940,Jun,01-06-1940,32.81
1940,Jul,01-07-1940,179.804
1940,Aug,01-08-1940,164.446
1940,Sep,01-09-1940,13.695
1940,Oct,01-10-1940,8.129
1940,Nov,01-11-1940,6.465
1940,Dec,01-12-1940,0.426
1941,Jan,01-01-1941,3.258
1941,Feb,01-02-1941,2.604
1941,Mar,01-03-1941,0.328
1941,Apr,01-04-1941,0.291
1941,May,01-05-1941,7.618
1941,Jun,01-06-1941,5.985
1941,Jul,01-07-1941,129.066
1941,Aug,01-08-1941,112.257
1941,Sep,01-09-1941,68.328
1941,Oct,01-10-1941,4.26
1941,Nov,01-11-1941,0.039
1941,Dec,01-12-1941,0.419
1942,Jan,01-01-1942,5.501
1942,Feb,01-02-1942,5.849
1942,Mar,01-03-1942,0
1942,Apr,01-04-1942,12.946
1942,May,01-05-1942,11.528
1942,Jun,01-06-1942,22.169
1942,Jul,01-07-1942,280.147
1942,Aug,01-08-1942,185.295
1942,Sep,01-09-1942,73.658
1942,Oct,01-10-1942,0
1942,Nov,01-11-1942,0.039
1942,Dec,01-12-1942,2.28
1943,Jan,01-01-1943,2.363
1943,Feb,01-02-1943,0
1943,Mar,01-03-1943,0
1943,Apr,01-04-1943,13.695
1943,May,01-05-1943,7.014
1943,Jun,01-06-1943,36.438
1943,Jul,01-07-1943,422.013
1943,Aug,01-08-1943,124.634
1943,Sep,01-09-1943,219.452
1943,Oct,01-10-1943,1.643
1943,Nov,01-11-1943,0.039
1943,Dec,01-12-1943,0
1944,Jan,01-01-1944,16.106
1944,Feb,01-02-1944,3.003
1944,Mar,01-03-1944,31.014
1944,Apr,01-04-1944,4.364
1944,May,01-05-1944,0.262
1944,Jun,01-06-1944,36.553
1944,Jul,01-07-1944,251.241
1944,Aug,01-08-1944,325.125
1944,Sep,01-09-1944,54.444
1944,Oct,01-10-1944,10.916
1944,Nov,01-11-1944,0.039
1944,Dec,01-12-1944,0
1945,Jan,01-01-1945,8.044
1945,Feb,01-02-1945,0
1945,Mar,01-03-1945,0
1945,Apr,01-04-1945,2.301
1945,May,01-05-1945,15.109
1945,Jun,01-06-1945,24.127
1945,Jul,01-07-1945,382.578
1945,Aug,01-08-1945,178.958
1945,Sep,01-09-1945,66.155
1945,Oct,01-10-1945,0.181
1945,Nov,01-11-1945,0.039
1945,Dec,01-12-1945,0
1946,Jan,01-01-1946,0
1946,Feb,01-02-1946,0.893
1946,Mar,01-03-1946,0
1946,Apr,01-04-1946,0.487
1946,May,01-05-1946,5.394
1946,Jun,01-06-1946,51.897
1946,Jul,01-07-1946,127.249
1946,Aug,01-08-1946,206.001
1946,Sep,01-09-1946,18.598
1946,Oct,01-10-1946,0.313
1946,Nov,01-11-1946,11.707
1946,Dec,01-12-1946,1.228
1947,Jan,01-01-1947,0.776
1947,Feb,01-02-1947,0.958
1947,Mar,01-03-1947,0.053
1947,Apr,01-04-1947,0.655
1947,May,01-05-1947,0.746
1947,Jun,01-06-1947,8.839
1947,Jul,01-07-1947,110.917
1947,Aug,01-08-1947,218.901
1947,Sep,01-09-1947,253.37
1947,Oct,01-10-1947,29.935
1947,Nov,01-11-1947,0.039
1947,Dec,01-12-1947,1.714
1948,Jan,01-01-1948,12.576
1948,Feb,01-02-1948,5.561
1948,Mar,01-03-1948,2.236
1948,Apr,01-04-1948,1.255
1948,May,01-05-1948,4.685
1948,Jun,01-06-1948,33.803
1948,Jul,01-07-1948,296.74
1948,Aug,01-08-1948,140.553
1948,Sep,01-09-1948,39.552
1948,Oct,01-10-1948,2.318
1948,Nov,01-11-1948,7.139
1948,Dec,01-12-1948,0
1949,Jan,01-01-1949,5.811
1949,Feb,01-02-1949,1.478
1949,Mar,01-03-1949,0.004
1949,Apr,01-04-1949,0
1949,May,01-05-1949,4.131
1949,Jun,01-06-1949,29.181
1949,Jul,01-07-1949,252.869
1949,Aug,01-08-1949,97.903
1949,Sep,01-09-1949,74.913
1949,Oct,01-10-1949,11.523
1949,Nov,01-11-1949,0.039
1949,Dec,01-12-1949,0
1950,Jan,01-01-1950,0.965
1950,Feb,01-02-1950,0
1950,Mar,01-03-1950,4.053
1950,Apr,01-04-1950,0
1950,May,01-05-1950,4.928
1950,Jun,01-06-1950,13.713
1950,Jul,01-07-1950,251.4
1950,Aug,01-08-1950,68.196
1950,Sep,01-09-1950,129.235
1950,Oct,01-10-1950,0.404
1950,Nov,01-11-1950,0.071
1950,Dec,01-12-1950,0.958
1951,Jan,01-01-1951,0.54
1951,Feb,01-02-1951,0
1951,Mar,01-03-1951,5.108
1951,Apr,01-04-1951,4.161
1951,May,01-05-1951,13.217
1951,Jun,01-06-1951,77.364
1951,Jul,01-07-1951,95.699
1951,Aug,01-08-1951,188.917
1951,Sep,01-09-1951,41.008
1951,Oct,01-10-1951,6.908
1951,Nov,01-11-1951,68.25
1951,Dec,01-12-1951,0
1952,Jan,01-01-1952,0
1952,Feb,01-02-1952,1.972
1952,Mar,01-03-1952,1.166
1952,Apr,01-04-1952,2.353
1952,May,01-05-1952,2.067
1952,Jun,01-06-1952,34.423
1952,Jul,01-07-1952,317.529
1952,Aug,01-08-1952,217.25
1952,Sep,01-09-1952,10.932
1952,Oct,01-10-1952,0.103
1952,Nov,01-11-1952,0.039
1952,Dec,01-12-1952,4.69
1953,Jan,01-01-1953,4.531
1953,Feb,01-02-1953,0
1953,Mar,01-03-1953,0
1953,Apr,01-04-1953,2.362
1953,May,01-05-1953,3.038
1953,Jun,01-06-1953,45.111
1953,Jul,01-07-1953,151.471
1953,Aug,01-08-1953,216.061
1953,Sep,01-09-1953,96.931
1953,Oct,01-10-1953,1.558
1953,Nov,01-11-1953,0.039
1953,Dec,01-12-1953,0
1954,Jan,01-01-1954,5.384
1954,Feb,01-02-1954,5.038
1954,Mar,01-03-1954,2.846
1954,Apr,01-04-1954,0
1954,May,01-05-1954,0.866
1954,Jun,01-06-1954,14.385
1954,Jul,01-07-1954,205.595
1954,Aug,01-08-1954,123.697
1954,Sep,01-09-1954,229.512
1954,Oct,01-10-1954,29.153
1954,Nov,01-11-1954,21.421
1954,Dec,01-12-1954,0
1955,Jan,01-01-1955,2.05
1955,Feb,01-02-1955,0
1955,Mar,01-03-1955,0.832
1955,Apr,01-04-1955,0.07
1955,May,01-05-1955,6.652
1955,Jun,01-06-1955,50.621
1955,Jul,01-07-1955,69.147
1955,Aug,01-08-1955,287.089
1955,Sep,01-09-1955,175.707
1955,Oct,01-10-1955,16.698
1955,Nov,01-11-1955,0.039
1955,Dec,01-12-1955,5.585
1956,Jan,01-01-1956,7.589
1956,Feb,01-02-1956,0.04
1956,Mar,01-03-1956,14.427
1956,Apr,01-04-1956,2.124
1956,May,01-05-1956,1.035
1956,Jun,01-06-1956,51.545
1956,Jul,01-07-1956,453.715
1956,Aug,01-08-1956,124.528
1956,Sep,01-09-1956,21.758
1956,Oct,01-10-1956,43.796
1956,Nov,01-11-1956,4.227
1956,Dec,01-12-1956,2.286
1957,Jan,01-01-1957,8.074
1957,Feb,01-02-1957,0
1957,Mar,01-03-1957,15.993
1957,Apr,01-04-1957,2.307
1957,May,01-05-1957,9.312
1957,Jun,01-06-1957,38.781
1957,Jul,01-07-1957,139.824
1957,Aug,01-08-1957,199.463
1957,Sep,01-09-1957,36.7
1957,Oct,01-10-1957,1.59
1957,Nov,01-11-1957,17.9
1957,Dec,01-12-1957,0.601
1958,Jan,01-01-1958,0.188
1958,Feb,01-02-1958,0.354
1958,Mar,01-03-1958,0.969
1958,Apr,01-04-1958,0.486
1958,May,01-05-1958,6.727
1958,Jun,01-06-1958,19.936
1958,Jul,01-07-1958,203.837
1958,Aug,01-08-1958,93.242
1958,Sep,01-09-1958,296.981
1958,Oct,01-10-1958,9.898
1958,Nov,01-11-1958,80.974
1958,Dec,01-12-1958,6.205
1959,Jan,01-01-1959,1.238
1959,Feb,01-02-1959,0.485
1959,Mar,01-03-1959,0.562
1959,Apr,01-04-1959,1.977
1959,May,01-05-1959,14.824
1959,Jun,01-06-1959,70.249
1959,Jul,01-07-1959,178.568
1959,Aug,01-08-1959,133.771
1959,Sep,01-09-1959,169.354
1959,Oct,01-10-1959,6.555
1959,Nov,01-11-1959,24.177
1959,Dec,01-12-1959,0
1960,Jan,01-01-1960,1.398
1960,Feb,01-02-1960,0
1960,Mar,01-03-1960,1.119
1960,Apr,01-04-1960,0
1960,May,01-05-1960,7.132
1960,Jun,01-06-1960,62.209
1960,Jul,01-07-1960,136.085
1960,Aug,01-08-1960,105.438
1960,Sep,01-09-1960,19.715
1960,Oct,01-10-1960,10.077
1960,Nov,01-11-1960,0.039
1960,Dec,01-12-1960,0.792
1961,Jan,01-01-1961,5.059
1961,Feb,01-02-1961,11.674
1961,Mar,01-03-1961,0
1961,Apr,01-04-1961,10.683
1961,May,01-05-1961,8.026
1961,Jun,01-06-1961,48.701
1961,Jul,01-07-1961,135.594
1961,Aug,01-08-1961,152.056
1961,Sep,01-09-1961,225.808
1961,Oct,01-10-1961,12.465
1961,Nov,01-11-1961,2.288
1961,Dec,01-12-1961,0.821
1962,Jan,01-01-1962,1.617
1962,Feb,01-02-1962,0
1962,Mar,01-03-1962,15.765
1962,Apr,01-04-1962,3.193
1962,May,01-05-1962,3.217
1962,Jun,01-06-1962,13.434
1962,Jul,01-07-1962,251.751
1962,Aug,01-08-1962,89.406
1962,Sep,01-09-1962,113.312
1962,Oct,01-10-1962,0
1962,Nov,01-11-1962,5.161
1962,Dec,01-12-1962,3.023
1963,Jan,01-01-1963,0.91
1963,Feb,01-02-1963,2.502
1963,Mar,01-03-1963,3.128
1963,Apr,01-04-1963,0.348
1963,May,01-05-1963,2.812
1963,Jun,01-06-1963,19.654
1963,Jul,01-07-1963,68.026
1963,Aug,01-08-1963,167.707
1963,Sep,01-09-1963,103.93
1963,Oct,01-10-1963,10.422
1963,Nov,01-11-1963,27.105
1963,Dec,01-12-1963,1.629
1964,Jan,01-01-1964,0
1964,Feb,01-02-1964,0
1964,Mar,01-03-1964,0.547
1964,Apr,01-04-1964,0
1964,May,01-05-1964,20.572
1964,Jun,01-06-1964,38.024
1964,Jul,01-07-1964,221.673
1964,Aug,01-08-1964,231.847
1964,Sep,01-09-1964,68.687
1964,Oct,01-10-1964,6.409
1964,Nov,01-11-1964,0.039
1964,Dec,01-12-1964,6.205
1965,Jan,01-01-1965,5.913
1965,Feb,01-02-1965,1.438
1965,Mar,01-03-1965,6.031
1965,Apr,01-04-1965,1.544
1965,May,01-05-1965,0.492
1965,Jun,01-06-1965,12.905
1965,Jul,01-07-1965,306.552
1965,Aug,01-08-1965,103.157
1965,Sep,01-09-1965,24.031
1965,Oct,01-10-1965,4.03
1965,Nov,01-11-1965,0.039
1965,Dec,01-12-1965,0.4
1966,Jan,01-01-1966,0
1966,Feb,01-02-1966,0.183
1966,Mar,01-03-1966,0
1966,Apr,01-04-1966,0
1966,May,01-05-1966,15.914
1966,Jun,01-06-1966,49.175
1966,Jul,01-07-1966,191.453
1966,Aug,01-08-1966,239.483
1966,Sep,01-09-1966,79.71
1966,Oct,01-10-1966,0
1966,Nov,01-11-1966,22.862
1966,Dec,01-12-1966,0.478
1967,Jan,01-01-1967,0
1967,Feb,01-02-1967,0
1967,Mar,01-03-1967,50.2
1967,Apr,01-04-1967,0.277
1967,May,01-05-1967,5.947
1967,Jun,01-06-1967,102.316
1967,Jul,01-07-1967,233.313
1967,Aug,01-08-1967,224.185
1967,Sep,01-09-1967,188.78
1967,Oct,01-10-1967,27.233
1967,Nov,01-11-1967,0.039
1967,Dec,01-12-1967,9.852
1968,Jan,01-01-1968,1.848
1968,Feb,01-02-1968,1.679
1968,Mar,01-03-1968,12.542
1968,Apr,01-04-1968,0.326
1968,May,01-05-1968,3.443
1968,Jun,01-06-1968,6.259
1968,Jul,01-07-1968,197.657
1968,Aug,01-08-1968,89.668
1968,Sep,01-09-1968,14.912
1968,Oct,01-10-1968,3.689
1968,Nov,01-11-1968,0.039
1968,Dec,01-12-1968,0
1969,Jan,01-01-1969,6.052
1969,Feb,01-02-1969,0.872
1969,Mar,01-03-1969,0.312
1969,Apr,01-04-1969,0
1969,May,01-05-1969,4.085
1969,Jun,01-06-1969,17.161
1969,Jul,01-07-1969,144.558
1969,Aug,01-08-1969,109.526
1969,Sep,01-09-1969,86.345
1969,Oct,01-10-1969,0
1969,Nov,01-11-1969,5.077
1969,Dec,01-12-1969,0
1970,Jan,01-01-1970,3.647
1970,Feb,01-02-1970,3.23
1970,Mar,01-03-1970,3.967
1970,Apr,01-04-1970,4.309
1970,May,01-05-1970,15.802
1970,Jun,01-06-1970,107.894
1970,Jul,01-07-1970,96.931
1970,Aug,01-08-1970,339.508
1970,Sep,01-09-1970,152.583
1970,Oct,01-10-1970,0.019
1970,Nov,01-11-1970,0.039
1970,Dec,01-12-1970,0
